segment,split,mean_rmse,n_frames
segment-4045613324047897473_940_000_960_000_with_camera_labels.zip,unseen,3.590339111922374,199
segment-9041488218266405018_6454_030_6474_030_with_camera_labels.zip,unseen,3.162122739083839,198
segment-13887882285811432765_740_000_760_000_with_camera_labels.zip,unseen,3.0722471270898377,198
segment-4195774665746097799_7300_960_7320_960_with_camera_labels.zip,unseen,5.337918589462587,199
segment-6183008573786657189_5414_000_5434_000_with_camera_labels.zip,unseen,3.556901845500697,199
segment-17792628511034220885_2360_000_2380_000_with_camera_labels.zip,unseen,3.6511559916097065,172
segment-2714318267497393311_480_000_500_000_with_camera_labels.zip,unseen,3.217089663250278,198
segment-13732041959462600641_720_000_740_000_with_camera_labels.zip,unseen,2.8140083437588945,199
segment-260994483494315994_2797_545_2817_545_with_camera_labels.zip,unseen,3.3122362467511812,199
segment-5026942594071056992_3120_000_3140_000_with_camera_labels.zip,unseen,3.2664736982566027,199
segment-8506432817378693815_4860_000_4880_000_with_camera_labels.zip,unseen,3.5338154537509188,198
segment-11434627589960744626_4829_660_4849_660_with_camera_labels.zip,unseen,2.2642159750967314,198
segment-2335854536382166371_2709_426_2729_426_with_camera_labels.zip,unseen,3.465287393724858,197
segment-4013125682946523088_3540_000_3560_000_with_camera_labels.zip,unseen,3.7316208837008236,198
segment-10161761842905385678_760_000_780_000_with_camera_labels.zip,unseen,4.418302979734209,198
segment-17052666463197337241_4560_000_4580_000_with_camera_labels.zip,unseen,3.2701881076350356,198
segment-13469905891836363794_4429_660_4449_660_with_camera_labels.zip,unseen,2.5894885906065355,198
segment-5574146396199253121_6759_360_6779_360_with_camera_labels.zip,unseen,4.555577638197918,196
segment-6862795755554967162_2280_000_2300_000_with_camera_labels.zip,unseen,2.811126623490844,198
segment-39847154216997509_6440_000_6460_000_with_camera_labels.zip,unseen,2.327382116004674,198
segment-14631629219048194483_2720_000_2740_000_with_camera_labels.zip,unseen,3.005636969403406,199
segment-7253952751374634065_1100_000_1120_000_with_camera_labels.zip,unseen,3.887540170894795,199
segment-5832416115092350434_60_000_80_000_with_camera_labels.zip,unseen,2.931561226194555,198
segment-1735154401471216485_440_000_460_000_with_camera_labels.zip,unseen,2.0809572814690944,198
segment-5585555620508986875_720_000_740_000_with_camera_labels.zip,unseen,2.831951761124085,196
segment-8398516118967750070_3958_000_3978_000_with_camera_labels.zip,unseen,2.7301458701416474,199
segment-902001779062034993_2880_000_2900_000_with_camera_labels.zip,unseen,3.6089398981344822,198
segment-6922883602463663456_2220_000_2240_000_with_camera_labels.zip,unseen,3.9628339157891026,194
segment-17703234244970638241_220_000_240_000_with_camera_labels.zip,unseen,3.6921417062932793,198
segment-12056192874455954437_140_000_160_000_with_camera_labels.zip,unseen,2.9242884789279957,199
segment-5927928428387529213_1640_000_1660_000_with_camera_labels.zip,unseen,3.128641264005141,198
segment-3645211352574995740_3540_000_3560_000_with_camera_labels.zip,unseen,3.152700348935946,198
segment-9584760613582366524_1620_000_1640_000_with_camera_labels.zip,unseen,2.3545773998655455,198
segment-9243656068381062947_1297_428_1317_428_with_camera_labels.zip,unseen,2.894469405665542,198
segment-7240042450405902042_580_000_600_000_with_camera_labels.zip,unseen,2.83473708678265,196
segment-16062780403777359835_2580_000_2600_000_with_camera_labels.zip,unseen,2.233145717400402,199
segment-16367045247642649300_3060_000_3080_000_with_camera_labels.zip,unseen,2.566630522006659,197
segment-5289247502039512990_2640_000_2660_000_with_camera_labels.zip,unseen,3.4459790617528587,198
segment-13178092897340078601_5118_604_5138_604_with_camera_labels.zip,unseen,3.4657137839481083,198
segment-14470988792985854683_760_000_780_000_with_camera_labels.zip,unseen,2.8927352332589615,199
segment-14737335824319407706_1980_000_2000_000_with_camera_labels.zip,unseen,2.8240800886297945,199
segment-4816728784073043251_5273_410_5293_410_with_camera_labels.zip,unseen,3.8450967389710096,196
segment-8688567562597583972_940_000_960_000_with_camera_labels.zip,unseen,3.246213997253264,198
segment-15028688279822984888_1560_000_1580_000_with_camera_labels.zip,unseen,3.9013825829582984,198
segment-17244566492658384963_2540_000_2560_000_with_camera_labels.zip,unseen,4.382404047041083,199
segment-2601205676330128831_4880_000_4900_000_with_camera_labels.zip,unseen,2.189687516222048,199
segment-13694146168933185611_800_000_820_000_with_camera_labels.zip,unseen,5.424140581812884,193
segment-5764319372514665214_2480_000_2500_000_with_camera_labels.zip,unseen,2.5124088945101253,199
segment-17135518413411879545_1480_000_1500_000_with_camera_labels.zip,unseen,4.566026236805214,197
segment-2551868399007287341_3100_000_3120_000_with_camera_labels.zip,unseen,4.601041802209825,199
segment-7844300897851889216_500_000_520_000_with_camera_labels.zip,unseen,2.8293217109076343,199
segment-7435516779413778621_4440_000_4460_000_with_camera_labels.zip,unseen,2.5908637831558536,199
segment-7932945205197754811_780_000_800_000_with_camera_labels.zip,unseen,3.4146389407340925,198
segment-13790309965076620852_6520_000_6540_000_with_camera_labels.zip,unseen,3.130392652569395,198
segment-4246537812751004276_1560_000_1580_000_with_camera_labels.zip,unseen,3.403323741414439,199
segment-2906594041697319079_3040_000_3060_000_with_camera_labels.zip,unseen,3.4657938733245386,198
segment-5302885587058866068_320_000_340_000_with_camera_labels.zip,unseen,3.458611993933443,199
segment-5648007586817904385_3220_000_3240_000_with_camera_labels.zip,unseen,2.3854056469259417,187
segment-5810494922060252082_3720_000_3740_000_with_camera_labels.zip,unseen,2.9271790088720655,199
segment-15021599536622641101_556_150_576_150_with_camera_labels.zip,unseen,3.1881535520505664,199
segment-11660186733224028707_420_000_440_000_with_camera_labels.zip,unseen,4.067688299314625,197
segment-16942495693882305487_4340_000_4360_000_with_camera_labels.zip,unseen,3.4501265082696473,198
segment-3039251927598134881_1240_610_1260_610_with_camera_labels.zip,unseen,2.6652712394492797,198
segment-17756183617755834457_1940_000_1960_000_with_camera_labels.zip,unseen,3.196746838152708,199
segment-9164052963393400298_4692_970_4712_970_with_camera_labels.zip,unseen,2.5620250396393054,199
segment-15488266120477489949_3162_920_3182_920_with_camera_labels.zip,unseen,3.107991449760668,198
segment-11406166561185637285_1753_750_1773_750_with_camera_labels.zip,unseen,4.009363035963039,198
segment-17962792089966876718_2210_933_2230_933_with_camera_labels.zip,unseen,2.8550092071744064,199
segment-8845277173853189216_3828_530_3848_530_with_camera_labels.zip,unseen,3.4789435839166445,196
segment-16951245307634830999_1400_000_1420_000_with_camera_labels.zip,unseen,2.5584920748686177,195
segment-6707256092020422936_2352_392_2372_392_with_camera_labels.zip,unseen,3.104416153647683,198
segment-4423389401016162461_4235_900_4255_900_with_camera_labels.zip,unseen,2.481010660980687,198
segment-6503078254504013503_3440_000_3460_000_with_camera_labels.zip,unseen,3.6101457929611205,200
segment-9472420603764812147_850_000_870_000_with_camera_labels.zip,unseen,5.491550947680618,198
segment-6074871217133456543_1000_000_1020_000_with_camera_labels.zip,unseen,7.302091835719074,197
segment-14262448332225315249_1280_000_1300_000_with_camera_labels.zip,unseen,3.4275368835458804,199
segment-11901761444769610243_556_000_576_000_with_camera_labels.zip,unseen,6.4330562608582635,196
segment-16767575238225610271_5185_000_5205_000_with_camera_labels.zip,unseen,2.0934979047008495,199
segment-14956919859981065721_1759_980_1779_980_with_camera_labels.zip,unseen,3.318788371493469,199
segment-2218963221891181906_4360_000_4380_000_with_camera_labels.zip,unseen,2.9993929179186747,197
segment-2506799708748258165_6455_000_6475_000_with_camera_labels.zip,unseen,3.3712100707106853,199
segment-14165166478774180053_1786_000_1806_000_with_camera_labels.zip,unseen,2.5969434254097217,198
segment-2367305900055174138_1881_827_1901_827_with_camera_labels.zip,unseen,2.9374180535979684,197
segment-4140965781175793864_460_000_480_000_with_camera_labels.zip,unseen,2.836098762191072,196
segment-8331804655557290264_4351_740_4371_740_with_camera_labels.zip,unseen,2.3406099326646506,199
segment-8133434654699693993_1162_020_1182_020_with_camera_labels.zip,unseen,3.435378490072308,198
segment-12831741023324393102_2673_230_2693_230_with_camera_labels.zip,unseen,2.4655997536399146,198
segment-9024872035982010942_2578_810_2598_810_with_camera_labels.zip,unseen,3.763907354287427,198
segment-8684065200957554260_2700_000_2720_000_with_camera_labels.zip,unseen,3.068562701495007,198
segment-17212025549630306883_2500_000_2520_000_with_camera_labels.zip,unseen,2.8874724311660036,198
segment-15410814825574326536_2620_000_2640_000_with_camera_labels.zip,unseen,3.5169902926114336,199
segment-11048712972908676520_545_000_565_000_with_camera_labels.zip,unseen,3.266840354881095,199
segment-11867874114645674271_600_000_620_000_with_camera_labels.zip,unseen,2.4713218626491527,187
segment-14643284977980826278_520_000_540_000_with_camera_labels.zip,unseen,3.5518134507265957,198
segment-7247823803417339098_2320_000_2340_000_with_camera_labels.zip,unseen,4.102663453499876,199
segment-2363225200168330815_760_000_780_000_with_camera_labels.zip,unseen,3.567686499063693,199
segment-17262030607996041518_540_000_560_000_with_camera_labels.zip,unseen,3.724876886666423,198
segment-6324079979569135086_2372_300_2392_300_with_camera_labels.zip,unseen,3.4487307386349904,197
segment-12102100359426069856_3931_470_3951_470_with_camera_labels.zip,unseen,2.8899740341937905,198
segment-2624187140172428292_73_000_93_000_with_camera_labels.zip,unseen,4.751405271453474,199
segment-13415985003725220451_6163_000_6183_000_with_camera_labels.zip,unseen,2.4047975348467805,199
segment-6079272500228273268_2480_000_2500_000_with_camera_labels.zip,unseen,4.405921785076659,199
segment-4409585400955983988_3500_470_3520_470_with_camera_labels.zip,unseen,3.1034957643729357,199
segment-11037651371539287009_77_670_97_670_with_camera_labels.zip,unseen,2.9583672634594103,191
segment-16751706457322889693_4475_240_4495_240_with_camera_labels.zip,unseen,2.9429153023344097,198
segment-191862526745161106_1400_000_1420_000_with_camera_labels.zip,unseen,3.391727209989749,199
segment-2308204418431899833_3575_000_3595_000_with_camera_labels.zip,unseen,5.83867635289017,196
segment-12657584952502228282_3940_000_3960_000_with_camera_labels.zip,unseen,5.139718625280592,198
segment-2709541197299883157_1140_000_1160_000_with_camera_labels.zip,unseen,2.6868402167181276,199
segment-9114112687541091312_1100_000_1120_000_with_camera_labels.zip,unseen,2.389495755210141,197
segment-9350911198443552989_680_000_700_000_with_camera_labels.zip,unseen,3.2169732484386193,199
segment-18331704533904883545_1560_000_1580_000_with_camera_labels.zip,unseen,3.779606130388048,198
segment-1505698981571943321_1186_773_1206_773_with_camera_labels.zip,unseen,3.065910309252113,198
segment-1405149198253600237_160_000_180_000_with_camera_labels.zip,unseen,1.9355823921068065,197
segment-8679184381783013073_7740_000_7760_000_with_camera_labels.zip,unseen,3.1575159039160217,198
segment-18446264979321894359_3700_000_3720_000_with_camera_labels.zip,unseen,3.1614549387639492,199
segment-9231652062943496183_1740_000_1760_000_with_camera_labels.zip,unseen,2.838522534177761,198
segment-14107757919671295130_3546_370_3566_370_with_camera_labels.zip,unseen,2.58802791723271,194
segment-10203656353524179475_7625_000_7645_000_with_camera_labels.zip,unseen,3.020614763703009,198
segment-17065833287841703_2980_000_3000_000_with_camera_labels.zip,unseen,3.803366386710699,199
segment-7732779227944176527_2120_000_2140_000_with_camera_labels.zip,unseen,5.0802057532209846,199
segment-4037952268810331899_2420_000_2440_000_with_camera_labels.zip,unseen,2.4571132665932782,198
segment-15224741240438106736_960_000_980_000_with_camera_labels.zip,unseen,2.9414966825264783,199
segment-3459095437766396887_1600_000_1620_000_with_camera_labels.zip,unseen,2.614140084295562,198
segment-933621182106051783_4160_000_4180_000_with_camera_labels.zip,unseen,7.091900832725294,198
segment-14687328292438466674_892_000_912_000_with_camera_labels.zip,unseen,1.8487192765630858,198
segment-6680764940003341232_2260_000_2280_000_with_camera_labels.zip,unseen,4.0624463359514875,198
segment-10534368980139017457_4480_000_4500_000_with_camera_labels.zip,unseen,4.209016492618388,199
segment-7988627150403732100_1487_540_1507_540_with_camera_labels.zip,unseen,4.680651837257884,199
segment-5444585006397501511_160_000_180_000_with_camera_labels.zip,unseen,4.444588433558018,199
segment-15611747084548773814_3740_000_3760_000_with_camera_labels.zip,unseen,4.325876394305566,198
segment-15096340672898807711_3765_000_3785_000_with_camera_labels.zip,unseen,2.531894923454553,199
segment-12537711031998520792_3080_000_3100_000_with_camera_labels.zip,unseen,3.3863012561894426,198
segment-1071392229495085036_1844_790_1864_790_with_camera_labels.zip,unseen,2.6143811260811005,198
segment-10802932587105534078_1280_000_1300_000_with_camera_labels.zip,unseen,3.2630903424345297,197
segment-3485136235103477552_600_000_620_000_with_camera_labels.zip,unseen,3.0970613501179756,199
segment-7799643635310185714_680_000_700_000_with_camera_labels.zip,unseen,3.363323754734463,198
segment-12358364923781697038_2232_990_2252_990_with_camera_labels.zip,unseen,4.1068559591494616,199
segment-6228701001600487900_720_000_740_000_with_camera_labels.zip,unseen,3.376902152191509,198
segment-12866817684252793621_480_000_500_000_with_camera_labels.zip,unseen,4.072512496056868,199
segment-13781857304705519152_2740_000_2760_000_with_camera_labels.zip,unseen,2.6534563021444195,199
segment-15370024704033662533_1240_000_1260_000_with_camera_labels.zip,unseen,3.7645235666768806,197
segment-16050146835908439029_4500_000_4520_000_with_camera_labels.zip,unseen,3.6059785431081597,198
segment-1703056599550681101_4380_000_4400_000_with_camera_labels.zip,unseen,2.9675314691331653,198
segment-10504764403039842352_460_000_480_000_with_camera_labels.zip,unseen,4.453220245349838,166
segment-13184115878756336167_1354_000_1374_000_with_camera_labels.zip,unseen,5.056264392095595,199
segment-8907419590259234067_1960_000_1980_000_with_camera_labels.zip,unseen,3.070649650361803,198
